e0195;Elmendorff, Karl;3
v0189;Vollnhals, Ludwig;3
w0274;Webern, Anton von;3
d0001;Dachs, Joseph;3
b0663;Blessinger, Karl;3
b2103;Barenboim, Daniel;3
s0434;Schindler, Hanns;3
p0208;Pepping, Ernst;3
w0785;Wiora, Walther;3
s0636;Schmid, Josef;3
h0321;Handschin, Jacques;3
g0092;Gárdonyi, Zsolt;3
g1669;Grundeis, Sigfrid;3
e0124;Ehrenberg, Carl;3
w0592;Schumann, Clara;3
h1698;Huber, Klaus;3
k1334;Klemperer, Otto;3
d0075;Davis, Colin;3
m2035;Mauersberger, Rudolf;3
w0023;Wagenseil, Georg Christoph;3
r0695;Roemer, Matthäus;3
f0452;Fränzel, Ignaz Franz Joseph;3
s1972;Strauss, Richard;3
a0578;Adorno, Theodor Wiesengrund;3
m0021;Maderna, Bruno;2
m1161;Markevitch, Igor;2
h0568;Heger, Robert;2
l0773;Lotti, Antonio;2
h1986;Heinefetter, Sabine;2
l0018;Lachenmann, Helmut;2
l0776;Louis, Rudolf;2
s3302;Saal, Alfred;2
t0375;Toch, Ernst;2
o0140;Osthoff, Wolfgang;2
l0360;Lemacher, Heinrich;2
f0657;Frommel, Gerhard;2
p1063;Pischek, Johann Baptist;2
s1255;Seidl, Arthur;2
l1503;Landowska, Wanda;2
p0380;Piatti, Alfredo C.;2
j0122;Johner, Dominicus;2
c0009;Cahnbley-Hinken, Tilly;2
d0279;Dohnányi, Ernst von;2
n0066;Nemeskei, Franz Josef;2
k0230;Keller, Wilhelm;2
p0410;Picht-Axenfeld, Edith;2
m2043;Müller-Blattau, Joseph Maria;2
k1089;Kürzinger, Ignaz Franz Xaver;2
r0201;Redel, Kurt;2
f0605;Friedl, Paul;2
l0695;Löwe, Ferdinand (2);2
k0197;Keilberth, Joseph;2
d0244;Disclez, Joseph Maria Ghislain;2
w1029;Würz, Richard;2
h0566;Hegel, Georg Wilhelm Friedrich;2
d0265;Döbereiner, Christian;2
s0283;Schemenauer, Franz Seraph;2
w1299;Weinberger, Gerhard;2
r0134;Rau, Johann Christian;2
r0265;Reichert, Georg;2
s0336;Schick, Philippine;2
r1034;Reichardt, Johann Friedrich;2
p0103;Pauer, Ernst;2
b0751;Bohnen, Michael;2
k0059;Kalcher, Johann Nepomuk;2
l0452;Leygraf, Hans;2
w0311;Weigel, Nikolaus;2
k0424;Kirnberger, Johann Philipp;2
a0138;Albert, Max;2
k0809;Kornmüller, Utto;2
b0132;Barraga, Franz;2
m0187;Marteau, Henri;2
s0020;Sachsse, Hans;2
b1101;Burkhard, Willy;2
r1733;Rihm, Wolfgang Michael;2
k1194;Koeckert, Rudolf;2
c0039;Capeller, Johann Nepomuk;2
f0579;Friedberg, Carl;2
f0532;Freitag, August;2
s1275;Seuffert, Johann Philipp;2
m0982;Müller, Otto;2
g0587;Graun, Johann Gottlieb;2
g0994;Gerster, Otmar;2
s1574;Spilling, Willy;2
s0484;Schlett, Josef;2
d0028;Danckert, Werner;2
l0808;Luening, Otto;2
m1232;Mannschedel, Reinhold;2
g1149;Gutheil-Schoder, Marie;2
b0872;Braun, Moritz;2
d0221;Dietz, Johann Sebastian;2
l1027;Landauer, Gustav;2
k2255;Krenek, Ernst;2
h0894;Hieber, Max;2
p0064;Papst, Eugen;2
m0820;Molique, Bernhard;2
b0339;Beethoven, Ludwig van;2
h1706;Haitink, Bernard;2
